第几天,时间,天气,温度,降水,风速,风向,气压,湿度,云量
第1天,14:00,,11.4℃,无降水,3.3m/s,东北风,980.1hPa,55.1%,19.1%
第1天,17:00,,12.8℃,0.4mm,1m/s,东北风,980.2hPa,54.4%,65%
第1天,20:00,,7.8℃,0.1mm,0.1m/s,东南风,981.2hPa,77.1%,65%
第1天,23:00,,6.3℃,无降水,1.9m/s,西南风,982.3hPa,77.9%,2.7%
第1天,02:00,,4.8℃,无降水,2.3m/s,西南风,981.8hPa,81.9%,1.5%
第1天,05:00,,4.2℃,无降水,2.3m/s,西南风,982hPa,68.4%,2.8%
第1天,08:00,,10℃,无降水,3.3m/s,西南风,982.5hPa,57.2%,3.6%
第1天,11:00,,15.4℃,无降水,2.5m/s,西南风,982.3hPa,27.4%,34%
第2天,08:00,,10℃,无降水,3.3m/s,西南风,982.5hPa,57.2%,3.6%
第2天,11:00,,15.4℃,无降水,2.5m/s,西南风,982.3hPa,27.4%,34%
第2天,14:00,,16.7℃,无降水,3.3m/s,西北风,981hPa,33.7%,41.1%
第2天,17:00,,16.8℃,无降水,1.7m/s,西北风,980.4hPa,38.5%,60.5%
第2天,20:00,,12.2℃,无降水,0.9m/s,西南风,981.5hPa,56.8%,17.1%
第2天,23:00,,12.1℃,2.3mm,1.8m/s,西南风,981.1hPa,61.6%,70%
第2天,02:00,,8.5℃,2.3mm,2.6m/s,西南风,979.9hPa,73.8%,70%
第2天,05:00,,7.2℃,2.3mm,0.9m/s,西南风,979.4hPa,86.4%,70%
第3天,08:00,,10℃,2.3mm,3.3m/s,西北风,979.7hPa,57.3%,70%
第3天,11:00,,11.4℃,0.1mm,2.7m/s,西北风,979.4hPa,60.6%,57.2%
第3天,14:00,,12.8℃,1mm,3.3m/s,西北风,978.8hPa,61.1%,88.8%
第3天,17:00,,12.6℃,2.5mm,0.1m/s,西北风,978.9hPa,61.7%,70%
第3天,20:00,,10.1℃,0.1mm,1.5m/s,西南风,980.2hPa,59.1%,65%
第3天,23:00,,7.8℃,无降水,2.4m/s,西南风,981hPa,69.1%,21.3%
第3天,02:00,,5.9℃,无降水,2.2m/s,西南风,981.3hPa,70.7%,31%
第3天,05:00,,5.2℃,无降水,2.2m/s,西南风,982.2hPa,74.4%,10.1%
第4天,08:00,,11.2℃,无降水,3.3m/s,西北风,983.7hPa,70.8%,10.1%
第4天,11:00,,13.8℃,无降水,3.3m/s,西北风,984.2hPa,40.5%,10.1%
第4天,14:00,,16.2℃,无降水,3.2m/s,西北风,983.6hPa,35.9%,10.1%
第4天,17:00,,16.8℃,无降水,2.7m/s,西北风,983.7hPa,31.3%,10.1%
第4天,20:00,,13.5℃,无降水,1.3m/s,西南风,985.3hPa,39.5%,10.1%
第4天,23:00,,10℃,无降水,3.3m/s,西南风,986.2hPa,47.7%,8.8%
第4天,02:00,,8.6℃,无降水,3.1m/s,西南风,986.1hPa,48.6%,5.5%
第4天,05:00,,7.2℃,无降水,2.7m/s,西南风,986.2hPa,56.1%,3.8%
第5天,08:00,,12.1℃,无降水,1.8m/s,西南风,986.9hPa,43.2%,3.2%
第5天,11:00,,11.3℃,0.1mm,3.2m/s,西南风,986.5hPa,39.9%,65%
第5天,14:00,,12.4℃,0.1mm,3.3m/s,西南风,985.1hPa,42.8%,65%
第5天,17:00,,12.8℃,0.1mm,2.7m/s,西南风,984.4hPa,45.8%,65%
第5天,20:00,,10.9℃,0.1mm,3.1m/s,西南风,985.6hPa,50.1%,65%
第5天,23:00,,9.6℃,1.3mm,1.9m/s,东南风,986.3hPa,67.5%,70%
第5天,02:00,,9.1℃,0.2mm,1.5m/s,东北风,986.9hPa,77%,96.6%
第5天,05:00,,8.2℃,0.9mm,1.2m/s,东南风,987.1hPa,81.1%,84%
